order_id,sell_date,client_id,product_id,order_value
1,2024-01-01,1001,2001,29.99
2,2024-01-02,1002,2002,59.99
3,2024-01-03,1003,2003,39.99
4,2024-01-04,1004,2004,89.99
5,2024-01-05,1005,2005,49.99
6,2024-01-06,1006,2006,99.99
7,2024-01-07,1007,2007,69.99
8,2024-01-08,1008,2008,79.99
9,2024-01-09,1009,2009,59.99
10,2024-01-10,1010,2010,89.99
11,2024-01-11,1011,2011,39.99
12,2024-01-12,1012,2012,29.99
13,2024-01-13,1013,2013,49.99
14,2024-01-14,1014,2014,69.99
15,2024-01-15,1015,2015,79.99
16,2024-01-16,1016,2016,89.99
17,2024-01-17,1017,2017,99.99
18,2024-01-18,1018,2018,39.99
19,2024-01-19,1019,2019,29.99
20,2024-01-20,1020,2020,59.99
21,2024-01-21,1021,2021,49.99
22,2024-01-22,1022,2022,69.99
23,2024-01-23,1023,2023,79.99
24,2024-01-24,1024,2024,89.99
25,2024-01-25,1025,2025,99.99
26,2024-01-26,1026,2026,39.99
27,2024-01-27,1027,2027,29.99
28,2024-01-28,1028,2028,59.99
29,2024-01-29,1029,2029,49.99
30,2024-01-30,1030,2030,69.99
