order_id,sell_date,client_id,product_id,order_value
61,2024-03-02,1061,2061,79.99
62,2024-03-03,1062,2062,59.99
63,2024-03-04,1063,2063,89.99
64,2024-03-05,1064,2064,49.99
65,2024-03-06,1065,2065,69.99
66,2024-03-07,1066,2066,99.99
67,2024-03-08,1067,2067,39.99
68,2024-03-09,1068,2068,29.99
69,2024-03-10,1069,2069,59.99
70,2024-03-11,1070,2070,79.99
71,2024-03-12,1071,2071,89.99
72,2024-03-13,1072,2072,69.99
73,2024-03-14,1073,2073,49.99
74,2024-03-15,1074,2074,99.99
75,2024-03-16,1075,2075,39.99
76,2024-03-17,1076,2076,29.99
77,2024-03-18,1077,2077,59.99
78,2024-03-19,1078,2078,79.99
79,2024-03-20,1079,2079,89.99
80,2024-03-21,1080,2080,49.99
81,2024-03-22,1081,2081,69.99
82,2024-03-23,1082,2082,99.99
83,2024-03-24,1083,2083,39.99
84,2024-03-25,1084,2084,29.99
85,2024-03-26,1085,2085,59.99
86,2024-03-27,1086,2086,79.99
87,2024-03-28,1087,2087,89.99
88,2024-03-29,1088,2088,69.99
89,2024-03-30,1089,2089,49.99
90,2024-03-31,1090,2090,99.99
